brand,car_type,color,fuel_type,gear_type,mileage,model,price,ps,year_of_registration
audi,kombi,schwarz,diesel,automatik,20000,a6,40000,190,2015
subaru,kombi,weiss,benzin,automatik,150000,impreza,500,103,1995
bmw,,,,,150000,3er,1000,,2000
volkswagen,,,,automatik,150000,golf,1500,,2000
mercedes_benz,limousine,braun,benzin,automatik,150000,andere,6000,185,1985
audi,kombi,silber,diesel,automatik,150000,a6,4500,179,2005
renault,kleinwagen,silber,benzin,manuell,150000,clio,1500,89,2006
bmw,limousine,silber,benzin,automatik,150000,5er,2500,170,2000
volkswagen,andere,schwarz,diesel,manuell,125000,touran,8000,105,2012
mercedes_benz,kombi,silber,diesel,manuell,150000,c_klasse,2000,122,2005
audi,kombi,,diesel,manuell,150000,a6,1000,150,2000
opel,kombi,weiss,diesel,manuell,150000,insignia,4500,130,2009
volkswagen,kleinwagen,,diesel,automatik,5000,lupo,500,,2000
volkswagen,bus,schwarz,diesel,automatik,30000,transporter,55000,204,2015
volkswagen,bus,grau,diesel,automatik,20000,transporter,60000,150,2015
volkswagen,bus,blau,diesel,automatik,5000,transporter,55000,200,2015
volkswagen,bus,weiss,diesel,automatik,20000,transporter,25000,150,2015
volkswagen,bus,gruen,diesel,automatik,10000,transporter,40000,150,2015
ford,kombi,silber,benzin,manuell,150000,focus,3000,116,2005
volkswagen,limousine,blau,benzin,automatik,5000,polo,,120,2015
nissan,,,,,5000,micra,50,,2015
nissan,,,,manuell,125000,cargo,1000,,2005
mazda,bus,,benzin,manuell,5000,6_reihe,2500,140,2007
volkswagen,kleinwagen,schwarz,benzin,manuell,150000,lupo,1500,75,2005
citroen,bus,weiss,diesel,manuell,150000,andere,6000,95,2013
volkswagen,,,benzin,manuell,100000,golf,6000,,2008
skoda,kombi,,benzin,manuell,150000,octavia,1000,150,2000
skoda,kombi,weiss,diesel,automatik,150000,octavia,12000,184,2014
mercedes_benz,kombi,grau,benzin,automatik,150000,e_klasse,,192,1995
renault,kleinwagen,grau,benzin,manuell,150000,clio,1000,88,2005
bmw,limousine,blau,benzin,manuell,150000,3er,2000,105,2000
volkswagen,,,,,100000,andere,50,,2015
daihatsu,kleinwagen,rot,benzin,manuell,50000,sirion,4500,69,2009
bmw,suv,blau,diesel,automatik,150000,x_reihe,11000,177,2010
volkswagen,bus,blau,diesel,manuell,150000,transporter,7000,131,2009
volkswagen,suv,grau,benzin,automatik,5000,andere,,119,2015
volkswagen,kleinwagen,schwarz,benzin,manuell,150000,golf,1000,60,2000
volkswagen,,,diesel,,150000,transporter,,110,2000
seat,limousine,blau,benzin,manuell,125000,leon,12000,265,2011
volkswagen,,,benzin,,10000,golf,9000,170,1990
mercedes_benz,suv,,benzin,automatik,150000,m_klasse,3500,218,2005
volkswagen,limousine,,diesel,manuell,5000,golf,1000,,2000
bmw,limousine,gold,benzin,automatik,50000,3er,10000,408,2008
bmw,limousine,blau,benzin,manuell,150000,5er,6000,192,2005
volkswagen,kleinwagen,schwarz,benzin,manuell,150000,polo,1500,64,2005
volkswagen,,schwarz,benzin,manuell,150000,golf,4000,90,2005
citroen,kleinwagen,schwarz,benzin,manuell,150000,c2,1500,122,2005
volkswagen,kleinwagen,silber,benzin,manuell,150000,polo,3000,64,2006
dacia,limousine,blau,benzin,manuell,20000,sandero,8000,90,2015
audi,kombi,schwarz,benzin,manuell,150000,a4,500,125,2000
bmw,limousine,schwarz,benzin,automatik,150000,7er,6000,333,2005
bmw,kombi,schwarz,diesel,automatik,150000,5er,7000,197,2008
volkswagen,bus,blau,benzin,manuell,150000,transporter,5000,95,1990
volvo,limousine,schwarz,benzin,manuell,100000,s80,12000,241,2013
mitsubishi,suv,schwarz,hybrid,automatik,125000,outlander,17500,,2014
opel,suv,andere,diesel,manuell,150000,antara,5000,110,2007
audi,kombi,grau,diesel,automatik,150000,a6,6000,179,2007
volkswagen,,schwarz,benzin,manuell,150000,touran,4500,102,2008
bmw,suv,silber,diesel,automatik,150000,1er,20000,150,2015
volkswagen,kleinwagen,schwarz,benzin,manuell,150000,lupo,2000,50,2005
mercedes_benz,andere,gruen,diesel,manuell,150000,andere,5000,156,2005
honda,limousine,,benzin,manuell,150000,accord,1000,136,2000
opel,kleinwagen,grau,diesel,manuell,150000,corsa,3500,74,2008
audi,kleinwagen,schwarz,benzin,automatik,150000,a1,9000,122,2011
volkswagen,kleinwagen,silber,benzin,manuell,150000,lupo,1000,50,2005
mercedes_benz,coupe,schwarz,diesel,automatik,150000,cls,25000,265,2013
mazda,limousine,gold,benzin,manuell,100000,3_reihe,4500,105,2008
fiat,bus,blau,diesel,manuell,150000,ducato,6000,120,2007
ford,limousine,silber,diesel,manuell,150000,mondeo,2000,116,2000
volkswagen,,,,,150000,golf,1500,,1980
volkswagen,limousine,,,manuell,150000,transporter,1000,150,2000
mercedes_benz,bus,blau,diesel,,150000,viano,3500,150,2005
