brand,car_type,color,fuel_type,gear_type,mileage,model,price,ps,year_of_registration
audi,kombi,rot,benzin,manuell,150000,80,1500,150,1995
mercedes_benz,limousine,blau,benzin,automatik,150000,c_klasse,3500,143,2005
nissan,limousine,grau,benzin,manuell,150000,micra,1000,65,2005
volkswagen,bus,silber,diesel,automatik,150000,caddy,14000,102,2015
opel,kombi,grau,benzin,manuell,125000,astra,9000,179,2012
fiat,cabrio,blau,benzin,manuell,125000,andere,5000,131,2005
mercedes_benz,cabrio,weiss,benzin,automatik,40000,andere,35000,245,2015
ford,kombi,grau,benzin,manuell,150000,focus,3000,101,2005
opel,kleinwagen,silber,benzin,manuell,125000,corsa,3500,80,2009
chrysler,bus,braun,diesel,manuell,150000,grand,3000,143,2005
bmw,limousine,grau,benzin,automatik,5000,x_reihe,40000,192,2015
volkswagen,limousine,schwarz,benzin,manuell,80000,golf,1500,60,1995
porsche,cabrio,weiss,benzin,manuell,70000,andere,80000,272,1995
mercedes_benz,kombi,schwarz,benzin,automatik,30000,c_klasse,22500,156,2014
volkswagen,kleinwagen,schwarz,benzin,manuell,150000,fox,2000,54,2008
renault,kleinwagen,weiss,benzin,manuell,20000,twingo,3000,76,2009
hyundai,suv,schwarz,diesel,manuell,60000,tucson,15000,116,2015
bmw,limousine,schwarz,diesel,automatik,150000,3er,1000,150,2005
nissan,kleinwagen,blau,benzin,manuell,125000,micra,1500,65,2005
mazda,limousine,rot,benzin,manuell,30000,3_reihe,9000,120,2015
mazda,suv,rot,diesel,automatik,50000,cx_reihe,14000,175,2015
volkswagen,limousine,schwarz,benzin,manuell,150000,golf,2500,120,2005
skoda,kombi,schwarz,benzin,manuell,150000,fabia,2500,60,2009
seat,kombi,schwarz,diesel,automatik,80000,exeo,9000,143,2011
volkswagen,kleinwagen,weiss,benzin,manuell,80000,up,7000,75,2011
volkswagen,limousine,schwarz,diesel,automatik,150000,golf,20000,225,2013
volkswagen,limousine,schwarz,diesel,manuell,150000,golf,2000,105,2005
volkswagen,limousine,silber,benzin,manuell,150000,golf,5000,170,2007
volkswagen,kleinwagen,schwarz,benzin,manuell,100000,polo,6000,69,2011
toyota,limousine,blau,benzin,manuell,80000,aygo,3000,68,2007
audi,kombi,grau,benzin,manuell,150000,a4,25000,420,2006
mercedes_benz,coupe,silber,benzin,automatik,150000,clk,4500,140,2000
opel,kombi,gruen,diesel,automatik,150000,vectra,1500,150,2005
citroen,andere,gold,benzin,manuell,60000,andere,55000,50,1980
volkswagen,kleinwagen,weiss,benzin,manuell,40000,up,9000,60,2014
bmw,kombi,grau,diesel,automatik,100000,5er,25000,190,2015
renault,kleinwagen,blau,benzin,manuell,100000,clio,1000,59,2005
volkswagen,kombi,grau,diesel,manuell,60000,transporter,20000,102,2015
opel,bus,blau,benzin,manuell,150000,zafira,4000,235,2005
skoda,bus,silber,lpg,manuell,70000,roomster,5000,86,2015
volkswagen,limousine,schwarz,benzin,manuell,125000,golf,2000,101,2000
ford,bus,grau,diesel,manuell,150000,c_max,6000,109,2009
bmw,cabrio,weiss,benzin,automatik,150000,3er,20000,306,2010
bmw,suv,schwarz,diesel,automatik,150000,x_reihe,11000,177,2011
seat,kombi,schwarz,benzin,manuell,125000,ibiza,6000,105,2011
opel,kombi,rot,benzin,manuell,150000,astra,3000,116,2007
bmw,coupe,schwarz,diesel,manuell,150000,1er,6000,177,2011
audi,limousine,gruen,benzin,automatik,150000,a8,3000,310,2005
volkswagen,limousine,gruen,benzin,manuell,150000,golf,500,60,2000
nissan,kleinwagen,grau,benzin,manuell,125000,micra,4000,80,2011
smart,kleinwagen,rot,benzin,automatik,60000,fortwo,4500,71,2010
bmw,coupe,gruen,benzin,manuell,150000,3er,2000,105,2000
audi,kombi,schwarz,benzin,automatik,150000,a6,22500,580,2008
opel,kleinwagen,weiss,benzin,manuell,150000,kadett,13000,150,1990
mercedes_benz,kombi,weiss,benzin,automatik,80000,cla,27500,211,2015
mercedes_benz,limousine,schwarz,diesel,automatik,70000,e_klasse,35000,194,2015
mitsubishi,cabrio,grau,benzin,manuell,150000,colt,1500,109,2007
skoda,bus,rot,benzin,manuell,60000,roomster,10000,105,2014
smart,cabrio,schwarz,benzin,automatik,150000,roadster,3000,82,2005
seat,suv,blau,diesel,manuell,150000,alhambra,2000,116,2005
renault,kleinwagen,weiss,elektro,automatik,20000,andere,17500,58,2015
kia,kleinwagen,silber,benzin,manuell,30000,picanto,3500,60,2007
mercedes_benz,limousine,schwarz,diesel,manuell,150000,andere,2500,60,2005
audi,kombi,schwarz,diesel,automatik,150000,a6,17500,204,2012
smart,cabrio,schwarz,benzin,automatik,150000,roadster,3000,82,2005
bmw,limousine,grau,benzin,manuell,150000,5er,2500,150,2000
volkswagen,bus,schwarz,diesel,manuell,150000,touran,4000,140,2005
skoda,kleinwagen,blau,benzin,manuell,150000,fabia,2500,60,2008
renault,cabrio,blau,benzin,manuell,150000,megane,500,107,2005
audi,kombi,schwarz,diesel,automatik,150000,a6,12000,170,2011
volkswagen,bus,gelb,diesel,manuell,150000,touran,7000,105,2007
opel,kombi,silber,diesel,automatik,150000,andere,11000,125,2015
volkswagen,limousine,rot,benzin,manuell,40000,transporter,1000,72,1990
saab,limousine,schwarz,benzin,manuell,150000,andere,2500,209,2005
volkswagen,kombi,braun,benzin,automatik,150000,passat,8000,122,2008
volkswagen,bus,blau,diesel,manuell,150000,sharan,1500,116,2005
volkswagen,kleinwagen,grau,benzin,manuell,150000,polo,2000,47,2005
mercedes_benz,kombi,schwarz,benzin,manuell,100000,c_klasse,17500,156,2012
mazda,suv,weiss,diesel,manuell,125000,cx_reihe,13000,175,2012
opel,kleinwagen,schwarz,benzin,manuell,125000,corsa,4000,80,2009
bmw,limousine,schwarz,benzin,manuell,150000,3er,250,100,1995
peugeot,cabrio,weiss,benzin,manuell,125000,3_reihe,10000,155,2012
porsche,suv,schwarz,hybrid,automatik,125000,cayenne,60000,333,2015
audi,coupe,schwarz,benzin,automatik,20000,tt,60000,400,2015
ford,suv,rot,benzin,manuell,20000,kuga,17500,120,2015
lexus,suv,silber,hybrid,automatik,150000,rx_serie,8000,211,2007
mercedes_benz,cabrio,gruen,benzin,manuell,150000,slk,2000,198,2000
honda,suv,blau,benzin,manuell,20000,cr_reihe,22500,155,2015
volkswagen,kombi,blau,diesel,manuell,150000,passat,1500,105,2005
audi,limousine,silber,benzin,automatik,150000,a3,7000,105,2006
renault,kleinwagen,schwarz,benzin,manuell,150000,clio,2500,75,2007
audi,limousine,grau,diesel,automatik,150000,a5,22500,190,2015
opel,kleinwagen,blau,benzin,manuell,125000,corsa,2000,75,2005
kia,suv,weiss,benzin,manuell,90000,sportage,12000,135,2014
renault,kleinwagen,andere,benzin,automatik,150000,twingo,2000,60,2000
volkswagen,suv,schwarz,benzin,manuell,20000,tiguan,35000,150,2015
audi,cabrio,weiss,diesel,manuell,30000,a3,27500,150,2015
seat,kleinwagen,silber,benzin,manuell,150000,arosa,1000,50,2005
volkswagen,kombi,schwarz,diesel,automatik,150000,golf,8000,170,2011
peugeot,bus,silber,benzin,manuell,150000,8_reihe,3500,132,2000
volkswagen,bus,silber,diesel,automatik,150000,touran,9000,105,2014
audi,limousine,schwarz,benzin,automatik,90000,a4,17500,211,2012
volvo,kombi,blau,diesel,manuell,150000,v50,1000,136,2005
volkswagen,kombi,blau,diesel,manuell,60000,golf,15000,110,2015
opel,kombi,silber,benzin,manuell,150000,astra,5000,140,2008
volkswagen,suv,schwarz,diesel,manuell,150000,tiguan,15000,140,2012
mercedes_benz,suv,schwarz,diesel,automatik,100000,glk,17500,170,2010
mercedes_benz,limousine,rot,benzin,automatik,150000,andere,50,122,1995
volkswagen,kleinwagen,grau,benzin,manuell,125000,kaefer,12000,30,1960
