brand,fuel_type,gear_type,mileage,model,price,ps,year_of_registration
volkswagen,benzin,automatik,150000,golf,15000,235,2011
mercedes_benz,diesel,automatik,150000,e_klasse,2000,170,2005
smart,benzin,manuell,20000,fortwo,9000,71,2015
volkswagen,benzin,manuell,150000,golf,12000,98,1995
bmw,diesel,automatik,80000,x_reihe,27500,245,2013
audi,benzin,automatik,125000,a1,12000,185,2011
audi,diesel,automatik,80000,a6,35000,190,2015
volkswagen,benzin,automatik,80000,polo,2000,75,2000
mercedes_benz,benzin,manuell,150000,e_klasse,4000,150,1995
honda,benzin,manuell,125000,civic,6000,201,2008
audi,benzin,manuell,125000,a3,9000,125,2011
nissan,benzin,manuell,150000,micra,1000,80,2000
chrysler,lpg,automatik,150000,grand,1500,158,2000
volkswagen,benzin,manuell,150000,polo,2000,54,2005
opel,benzin,manuell,125000,corsa,1500,60,2005
mercedes_benz,diesel,automatik,150000,viano,13000,224,2010
subaru,benzin,manuell,150000,impreza,7000,260,2005
opel,benzin,manuell,150000,corsa,1500,60,2005
volkswagen,benzin,manuell,150000,golf,1000,75,2005
audi,diesel,automatik,150000,a5,22500,190,2015
volkswagen,diesel,manuell,150000,passat,2000,131,2005
opel,benzin,manuell,150000,combo,1000,87,2005
bmw,diesel,automatik,80000,x_reihe,14000,143,2011
volkswagen,benzin,manuell,150000,golf,1500,75,2000
fiat,benzin,manuell,80000,500,1500,60,2007
volkswagen,diesel,automatik,150000,passat,1000,163,2005
bmw,benzin,manuell,70000,m_reihe,25000,320,2014
hyundai,benzin,manuell,70000,andere,10000,140,2012
opel,benzin,manuell,150000,corsa,1000,60,2005
ford,benzin,manuell,150000,focus,1000,90,2005
opel,benzin,manuell,125000,meriva,3000,105,2006
seat,benzin,automatik,80000,altea,10000,160,2012
volkswagen,benzin,automatik,70000,golf,20000,184,2014
volkswagen,diesel,automatik,150000,sharan,4500,140,2005
bmw,benzin,manuell,150000,3er,2000,143,2005
bmw,benzin,manuell,150000,3er,13000,193,2000
seat,benzin,manuell,5000,ateca,25000,150,2015
skoda,benzin,manuell,90000,octavia,10000,105,2014
volkswagen,benzin,manuell,150000,golf,13000,250,2007
volkswagen,diesel,manuell,125000,golf,5000,110,2014
volvo,benzin,manuell,150000,v70,3500,170,2005
peugeot,benzin,manuell,100000,2_reihe,3500,73,2008
opel,benzin,manuell,150000,corsa,2000,60,1995
ford,diesel,manuell,150000,focus,1500,90,2005
citroen,diesel,manuell,150000,andere,7000,156,2007
seat,benzin,manuell,40000,mii,8000,75,2015
opel,benzin,automatik,150000,vectra,500,101,2000
opel,benzin,manuell,150000,astra,1000,105,2000
audi,diesel,automatik,150000,a6,6000,179,2007
mercedes_benz,diesel,automatik,150000,e_klasse,4500,204,2005
peugeot,benzin,manuell,100000,4_reihe,3000,136,2005
renault,benzin,manuell,150000,clio,1500,75,2005
opel,benzin,manuell,150000,astra,3000,105,2005
bmw,benzin,manuell,150000,5er,2500,150,2000
mercedes_benz,diesel,automatik,150000,m_klasse,2000,163,2005
mercedes_benz,benzin,manuell,150000,andere,1500,70,1980
volkswagen,diesel,automatik,150000,passat,2500,150,2005
mercedes_benz,benzin,automatik,40000,slk,35000,245,2015
peugeot,benzin,manuell,150000,2_reihe,4000,120,2007
suzuki,benzin,manuell,125000,andere,6000,107,2009
ford,benzin,manuell,125000,fiesta,5000,82,2011
audi,diesel,automatik,125000,a6,25000,313,2012
fiat,benzin,manuell,80000,punto,7000,135,2011
bmw,diesel,automatik,150000,5er,8000,272,2006
volkswagen,diesel,manuell,150000,caddy,2500,105,2006
volkswagen,benzin,automatik,80000,golf,10000,160,2009
bmw,benzin,manuell,150000,5er,7000,231,2005
renault,benzin,automatik,150000,twingo,2000,60,2000
kia,lpg,manuell,150000,carens,500,138,2005
alfa_romeo,benzin,manuell,150000,andere,1000,166,2006
volkswagen,diesel,manuell,150000,passat,4000,140,2006
citroen,benzin,manuell,90000,c3,3500,60,2008
mercedes_benz,benzin,manuell,150000,a_klasse,1500,102,2005
volkswagen,benzin,automatik,150000,passat,3000,115,2005
peugeot,diesel,manuell,150000,2_reihe,500,103,2005
opel,benzin,manuell,50000,corsa,4500,70,2011
volkswagen,benzin,manuell,150000,golf,1500,79,2000
mitsubishi,benzin,manuell,150000,space_reihe,1500,112,2005
peugeot,benzin,manuell,60000,2_reihe,11000,200,2013
audi,benzin,manuell,150000,80,6000,90,1990
renault,benzin,manuell,150000,megane,2000,98,2005
nissan,diesel,manuell,125000,andere,9000,110,2015
nissan,diesel,manuell,125000,nv_reihe,9000,90,2012
peugeot,benzin,manuell,5000,2_reihe,1500,100,2005
mercedes_benz,benzin,automatik,80000,c_klasse,45000,367,2015
opel,benzin,automatik,150000,corsa,3000,80,2007
volkswagen,benzin,automatik,30000,beetle,11000,105,2013
mercedes_benz,benzin,manuell,150000,e_klasse,4000,105,1990
opel,benzin,manuell,150000,corsa,1500,101,2005
volvo,diesel,automatik,150000,v70,15000,230,2012
volkswagen,benzin,manuell,150000,golf,1000,90,1995
audi,diesel,automatik,150000,andere,20000,245,2011
