brand,car_type,color,mileage,model,price,ps,year_of_registration
ford,kombi,schwarz,150000,mondeo,7000,140,2009
volkswagen,cabrio,weiss,60000,eos,11000,122,2008
volkswagen,limousine,gruen,150000,golf,,75,2000
opel,kleinwagen,weiss,125000,corsa,,65,2000
volkswagen,limousine,schwarz,150000,golf,3000,140,2005
fiat,andere,weiss,150000,doblo,500,68,2005
renault,bus,schwarz,150000,andere,6000,131,2011
seat,limousine,grau,125000,leon,2500,116,2010
opel,bus,schwarz,150000,zafira,2500,105,2005
volkswagen,kombi,silber,150000,passat,2500,150,2005
mercedes_benz,suv,schwarz,150000,m_klasse,14000,224,2008
volkswagen,,schwarz,150000,polo,500,50,2000
mercedes_benz,suv,silber,150000,m_klasse,30000,258,2012
mercedes_benz,,grau,5000,vito,14000,150,2009
porsche,limousine,schwarz,50000,andere,90000,441,2015
bmw,kombi,braun,50000,2er,22500,136,2015
opel,kleinwagen,schwarz,150000,corsa,1000,75,2005
bmw,kombi,schwarz,150000,3er,2500,170,2005
audi,suv,weiss,150000,q5,15000,145,2011
hyundai,kleinwagen,schwarz,125000,getz,1000,63,2005
volkswagen,,,150000,golf,500,54,1985
volkswagen,kleinwagen,blau,60000,polo,9000,75,2014
volkswagen,bus,grau,150000,touran,6000,140,2011
renault,bus,blau,150000,scenic,4500,110,2009
smart,kleinwagen,silber,50000,forfour,11000,177,2005
renault,kleinwagen,silber,5000,twingo,1000,58,2005
bmw,limousine,grau,150000,7er,17500,408,2009
mazda,suv,schwarz,150000,cx_reihe,5000,173,2011
audi,kleinwagen,gruen,150000,80,1000,66,1990
volkswagen,,,150000,golf,1000,100,2000
bmw,,,5000,5er,50,,2015
opel,kleinwagen,weiss,125000,corsa,6000,87,2012
mercedes_benz,kombi,schwarz,150000,c_klasse,1500,120,2000
ford,kleinwagen,gelb,5000,fiesta,1000,75,2000
opel,kleinwagen,blau,5000,corsa,1500,,2005
volkswagen,limousine,schwarz,150000,passat,10000,140,2010
mercedes_benz,,grau,150000,e_klasse,6000,218,2010
bmw,,,20000,3er,5000,129,2007
bmw,limousine,grau,125000,1er,6000,122,2008
bmw,limousine,silber,125000,5er,9000,177,2005
land_rover,cabrio,gruen,100000,serie_3,30000,98,1985
audi,kombi,grau,150000,a3,2000,125,2000
opel,kleinwagen,rot,5000,corsa,,60,1995
ford,kleinwagen,silber,70000,fiesta,3000,60,2006
mercedes_benz,kombi,blau,150000,c_klasse,4500,150,2007
opel,limousine,weiss,125000,corsa,1000,,1995
bmw,limousine,blau,150000,5er,2500,170,2000
audi,limousine,schwarz,100000,a6,25000,245,2013
ford,kombi,silber,150000,mondeo,500,170,2005
mercedes_benz,kleinwagen,violet,150000,a_klasse,250,101,2000
volkswagen,kleinwagen,blau,150000,golf,,116,1995
ford,kombi,silber,150000,focus,1500,101,2005
volkswagen,limousine,,150000,golf,7000,200,2005
mercedes_benz,limousine,schwarz,150000,cls,9000,224,2006
smart,kleinwagen,silber,90000,fortwo,,61,2006
mercedes_benz,limousine,schwarz,150000,s_klasse,4500,224,2005
ford,limousine,,150000,focus,1000,101,2005
opel,bus,schwarz,150000,zafira,4500,140,2006
audi,coupe,schwarz,100000,a5,35000,272,2015
sonstige_autos,,,150000,,,,2000
ford,kleinwagen,rot,40000,fiesta,1000,39,1985
